Name,freq
96701,5
96703,2
96704,3
96705,5
96706,1
96707,6
96708,2
96709,1
96710,1
96712,8
96713,1
96714,2
96715,4
96716,2
96717,1
96718,1
96719,1
96720,1
96721,1
96722,1
96725,1
96726,6
96727,4
96727,1
96728,2
96729,1
96730,1
96731,13
96732,1
96733,1
96734,2
96737,7
96738,2
96739,1
96740,1
96741,1
96742,1
96743,4
96744,1
96745,26
96746,84
96747,39
96748,4
96749,2
96750,1
96751,1
96752,1
96753,1
96753,1
96754,1
96755,7
96756,3
96757,3
96759,1
96760,2
96761,1
96762,5
96763,1
96764,1
96765,1
96766,4
96767,1
96768,3
96769,1
96770,6
96771,1
96772,2
96773,2
96774,1
96776,1
96777,1
96778,9
96779,1
96780,1
96781,1
96782,1
96783,1
96784,2
96785,1
96786,2
96788,1
96789,3
96790,1
96791,1
96792,1
96793,4
96795,3
96796,2
96797,1
85201,3
85202,1
85203,1
85204,1
85205,1
85206,1
85207,3
85208,7
85210,1
85211,7
85212,4
85213,2
85214,1
85215,3
85216,34
85217,2
85218,1
85218,1
85218,1
85218,1
85219,1
85219,24
85219,1
85220,1
85221,1
85222,1
85222,4
85223,1
85224,69
85225,1
85226,1
85227,1
85228,1
85230,3
85231,1
85231,1
85232,1
85233,2
85234,3
85235,1
85236,1
85237,7
85239,1
85239,1
85241,7
85242,1
85244,2
85245,1
85246,2
85247,14
85248,10
85248,1
85249,1
85250,53
85251,1
85252,2
85253,1
85253,1
85254,1
85255,1
85256,4
85257,2
85258,1
85259,1
85260,46
85261,1
85262,1
85263,1
85263,4
85264,1
85264,1
85266,2
85267,1
85268,1
85268,1
85269,1
85269,1
85271,2
85272,1
85273,2
85274,3
85275,4
85277,2
85278,1
85279,1
85280,1
85281,6
85282,2
85283,12
85283,1
85284,1
85285,8
85287,2
85290,6
85290,1
85291,1
85292,3
85292,1
85296,2
85297,6
85299,1
85001,1
85002,7
85003,4
85004,2
85005,1
85006,1
85007,1
85008,1
85009,2
85010,1
85011,4
85012,1
85013,1
85014,1
85015,2
85016,1
85017,1
85018,1
85019,1
85020,1
85021,1
85022,2
85023,1
85024,1
85025,1
85026,2
85027,1
85027,1
85028,2
85029,1
85030,12
85031,2
85032,1
85033,2
85034,1
85035,1
85036,7
85037,1
85038,1
85039,1
85040,1
85041,20
85042,4
85043,67
85044,1
85045,2
85046,1
85048,1
85050,1
85051,1
85053,1
85054,1
85055,1
85060,1
85061,4
85062,1
85063,1
85064,1
85065,1
85066,1
85067,1
85068,1
85069,2
85070,1
85071,2
85072,4
85073,1
85074,1
85075,83
85076,1
85078,2
85079,21
85080,1
85082,1
85085,14
85086,2
85086,5
85086,5
85087,8
85087,1
90201,1
90201,2
90201,1
90202,1
90202,1
90209,1
90210,1
90211,1
90212,30
90213,1
90220,1
90220,3
90221,1
90221,1
90222,11
90222,1
90223,1
90224,1
90224,1
90230,3
90231,1
90232,1
90233,1
90239,1
90240,1
90241,2
90242,4
90245,9
90247,1
90248,1
90249,1
90250,1
90250,1
90251,1
90254,1
90255,2
90255,4
90260,2
90261,1
90262,1
90263,1
90264,2
90265,1
90266,1
90267,1
90270,5
90270,6
90272,1
90274,2
90274,3
90274,7
90274,1
90275,1
90275,1
90275,1
90275,1
90277,1
90278,2
90280,5
90290,138
90291,1
90291,1
90292,1
90292,1
90293,1
90293,2
90294,1
90295,3
90295,3
90296,1
90296,1
92701,1
92702,2
92703,2
92704,1
92705,3
92705,6
92706,6
92707,4
92708,2
92708,3
92711,1
92712,3
92728,3
92728,1
92735,2
92780,3
92781,1
92782,4
92799,1
89101,1
89102,2
89103,1
89104,3
89106,1
89107,1
89108,1
89109,1
89110,1
89111,1
89112,1
89113,1
89114,4
89115,2
89116,8
89117,1
89118,1
89119,1
89120,2
89121,23
89122,2
89123,1
89124,47
89125,1
89126,1
89127,1
89128,1
89129,1
89130,3
89131,1
89132,1
89133,12
89134,1
89135,17
89137,2
89138,7
89139,1
89141,1
89142,1
89143,2
89144,1
89145,2
89146,1
89147,1
89148,1
89149,1
89154,1
89156,1
89160,1
89162,1
89170,3
89173,1
89177,2
89180,5
89185,2
89191,2
89191,2
89193,9
89199,1
